						Accept Condition							Refuse Condition							Soften Condition	Harden Condition
452	Limitation des allocations familiales	Liberals	Appauvrit les familles nombreuses mais soulage le budget de l'état. Les enfants n'auront qu'à distribuer des journaux.	0		119	10	-13	-13	0	-4	30000	-1	9	17	6	0	-7	0	-1	-1
453	Suppression des allocations familiales	Liberals	Appauvrit grandement les familles nombreuses mais soulage le budget de l'état. Les enfants n'auront qu'à faire le trottoir.	1		-1	16	-20	-19	0	-10	37500	-1	9	15	6	0	-7	1500	-1	-1
454	Universalité des allocations familiales	Religious	Favorise les familles bourgeoises, qui n'ont pas vraiment besoin de ces allocations. Augmente le niveau de vie des classes moyennes au prix de dépenses raisonanables.	0		121	-4	6	6	0	3	3000	-1	10	-7	6	0	-11	7500	-1	-1
455	Revalorisations des allocations familiales pour les familles nombreuses	Religious	Favorise des familles correspondant principalement au cadre traditionnel. Augmente nettement les dépenses de l'État.	1		122	-10	12	12	0	10	4500	-1	10	-14	6	0	-18	7500	-1	-1
456	Allocations religieuses versées au Baptême, puis à la confirmation	Religious	Récompense le bon usage des allocations familliales, augmente les dépenses fortement.	2		-1	-14	6	18	0	21	6000	-1	10	-7	0	0	-16	4500	-1	-1
457	Financement des associations d'anciens combattants	Militarist	Populaire auprès des patriotes, cette mesure aura un impact limité mais certain sur leur pouvoir d'achat.	0		124	-4	6	6	0	0	3000	-1	3	-7	-7	0	-7	6000	-1	-1
458	Revenu de solidarité pour les anciens combattants	Militarist	Populaire auprès des patriotes, cette mesure aura un impact certain sur leur pouvoir d'achat.	1		125	-10	6	6	-7	0	3000	-1	9	-7	-7	6	-7	6000	-1	-1
459	Gratuité du coût de la vie pour les anciens combattants	Militarist	Populaire auprès des patriotes, cette mesure aura un impact important sur leur pouvoir d'achat.	2		-1	-14	6	6	-13	0	3000	-1	10	-7	-7	13	-18	12000	-1	-1
460	Remédier aux déserts médicaux	Socialist	Ravira la population rurale au prix de lourd investissements. Mais la santé de nos concitoyen ne peut être sacrifiée sur l'hôtel de la rentabilité.	0		-1	-10	18	12	10	0	3000	-1	9	-20	-14	-20	6	12000	-1	-1
461	Limitation des aides à la création d'entreprise	Socialist	Délègue l'investissement une partie de l'investissement aux acteurs économiques privés : mauvais pour l'économie mais bon pour nos dépenses !	0		128	10	-7	-13	-7	0	3000	-1	-10	0	13	6	0	15000	-1	-1
462	Suppression des aides à la création d'entreprise	Socialist	Délègue l'investissement sur notre économie aux Business Angels, puissent-ils agir dans notre intérêt !	1		-1	13	-7	-25	-13	0	6000	-1	-11	0	26	13	0	0	-1	-1
463	Création de prisons privées	Socialist	Création de plus de prisons pour diminuer l'engorgement carcéral. Celles-ci seront privées et l'organisation sera laissé à la discrétion du propriétaire.	0		130	3	-7	6	-7	0	22500	-1	-4	6	-7	6	0	0	-1	-1
464	Privatisation des prisons publiques lourdement endettées	Socialist	Les prisons infonctionnelles doivent être remise en état et le gouvernement ne peut se permettre cette dépense. Avec la vente de ces prisons, de nombreux chantiers pourront être accomplis.	1		131	10	-8	12	-13	0	22500	-1	-10	6	-14	9	0	0	-1	-1
465	Privatisation des prisons publiques	Socialist	Les prisons publiques ne sont plus efficaces en comparaison des nouvelles. Le gouvernement propose donc de les privatiser elles aussi pour maximiser leur efficacité.	2		132	13	-9	18	-19	-4	22500	-1	-11	13	-20	15	0	0	-1	-1
466	Privatisation des tribunaux	Socialist	La majorité du système pénal, carcéral et judiciaire est déjà délégué de l'état. Finalisons le procédé en englobant le reste.	3		-1	16	-20	25	-25	-10	22500	-1	-22	33	-27	22	0	0	-1	-1
467	Légalisation du Cannabis pour un usage médical	Socialist	Le canabis a été prouvé pouvant être utilisable comme médicament sans nuire à la santé du consommateur. Pour rester dans l'air du temps et exploiter ce filon, le gouvernement propose sa légalisation a but médicinal dans un premier temps.	0		134	0	6	6	7	-4	7500	-1	9	-14	-7	6	6	0	-1	-1
468	Légalisation du Cannabis pour un usage récréatif	Socialist	Le canabis médicinal ayant prouvé créer beaucoup d'emplois et de revenus en taxes, l'état propose de l'autoriser également a usage récréatif.	1		135	0	12	12	7	-10	7500	-1	9	-20	-7	6	6	0	-1	-1
469	Légalisation des drogues dures pour un usage récréatif	Socialist	Les drogues douces sont controllées et encadrées. Le gouvernement propose d'étendre la loi précédente aux drogues dures, de façon a enfin pouvoir consommer légalement.	2		136	0	18	-19	0	-15	30000	-1	10	-7	-14	-7	6	0	-1	-1
470	Légalisation de l'alcool au travail	Socialist	L'alcool au volant, ca a jamais tué personne. Et puis c'est bon... hips. Il faudrait le légaliser, car marre de prendre des amendes en conduisant.	1		137	-4	21	-25	-7	-25	19500	-1	10	-7	-14	-7	17	0	-1	-1
471	Légalisation des drogues au volant	Socialist	Pis maintenant qu'on peut boire et conduire, plus besoin de choisir. Alors pourquoi devoir choisir entre boire et se piquer? Le gouvernement, et surtout moi, propose de légaliser tout ca.	2		-1	-4	31	-32	-7	-22	7500	-1	10	-7	-14	-7	17	0	-1	-1
472	Augmentation des effectifs pour le traitement des demandes d'asile	Socialist	Les migrants venant dans notre beau pays ne sont pas encadrés. Les récentes déclarations de notre président nous obligent à en accepter de plus en plus. Augmenter la vitesse des demandes d'asiles permettra d'accéler le processus complet.	0		-1	-4	-7	6	0	0	3000	-1	3	6	0	0	0	12000	-1	-1
473	Permis de séjour facilité	Socialist	Les expatriés et réfugiés sur notre sol ont du mal a pouvoir voir leur famille. Diminuer le nécessaire pour les permis de séjour permettrait de réunir plus de familles.	0		140	-10	-4	12	-7	0	3000	-1	9	13	6	0	0	12000	-1	-1
474	Naturalisation facilité	Socialist	L'intégration des étrangers s'est faite sans réel soucis. Le gouvernement propose de naturaliser ces gens travailleurs et motivés de façon à faire grimper les sondages et baisser le chômage.	1		141	-14	-9	15	-7	0	3000	-1	10	17	6	0	0	12000	-1	-1
475	Distribution dans la rue de passeports français	Socialist	Quiconque entrera sur le territoire se fera offrir immédiatement et contre avance la naturalisation. S'ils refusent, ils seront reconduis à la frontière le temps qu'ils réfléchissent de la chance qu'ils ont.	2		-1	-17	-15	15	-7	0	3000	-1	21	22	6	0	0	12000	-1	-1
476	Reconnaissance officielle de la culture judéo-chrétienne de la France comme culture nationale	Religious	La France a depuis longtemps des racines communes avec la culture judéo-chrétienne. Ses marques sont présentes dans chaque ville et village et le gouvernement estime qu'il est nécessaire de sauvegarder cette culture.	0		143	0	-7	0	0	3	7500	-1	0	6	0	0	-20	4500	-1	-1
477	Reconnaissance officielle de la culture catholique de la France comme culture nationale	Religious	Le catholiscime a été a la base de notre pays depuis plus de mille ans. Il est important d'intégrer toutes les reliques de notre passé en tant que patrimoine officiel pour le préserver.	1		144	0	-12	0	0	10	7500	-1	0	13	0	0	-16	4500	-1	-1
478	Reconnaissance officielle de la religion catholique comme religion d'état	Religious	Jésus est mort pour nos péchés. C'est un fait. La laïcité n'a mené nul part et le pays ne s'est jamais aussi bien porté que lorsqu'il avait une religion pour tous. Remettons ca.	2		145	0	-10	0	0	25	30000	-1	-4	13	0	0	-20	0	-1	-1
479	Interdiction des religions non officielles	Religious	L'état et la religion sont de nouveaux liés. Pourtant, certains s'opposent encore à la religion d'état. Pour ce faire, les autres religions sont désormais prohibés et passibles de sanctions.	3		146	0	-9	0	0	23	60000	-1	-4	19	0	0	-23	0	-1	-1
480	Inquisition	Religious	Malgré le décret précédent, de nombreuses religions sont encore pratiquées sans crainte de représailles. La création d'un nouveau système de police inquisteur permettra de débusquer et enfin chatier les infidèles.	4		-1	-10	-19	0	6	25	100000	-1	-4	26	0	0	-23	0	-1	-1
481	Interdiction de l'IVG	Religious	"Tu ne tueras point" y compris les enfants dans les ventres des femmes. Bien que les français aiment cet "liberté", les fidèles seront soulagés par cette réforme.	0		148	0	-9	0	-7	10	45000	-1	-4	3	6	0	-18	0	-1	-1
482	Interdiction du mariage homosexuel	Religious	L'insitution du mariage ayant pour but de fonder une famille, et les couples homosexuels ne pouvant procréer : c'est un non-sens de leur autoriser le mariage. La population désappouvre cette mesure, mais les croyants l'approuveront massivement.	1		149	0	-9	0	-7	25	45000	-1	-10	3	6	0	-18	0	-1	-1
483	Interdiction de l'homosexualité	Religious	L'homosexualité étant contre nature, il est inconcevable de la laisser perdurer plus longtemps. Tous les homosexuels devront donc être soignés, malgré une opposition tranchée des infidèles.	2		150	0	-15	0	-7	25	60000	-1	-16	3	6	0	-16	0	-1	-1
484	Baptême catholique obligatoire	Religious	Nul ne pouvant entrer au Royaume de Dieu s'il n'a été baptisé, il est de notre devoir d'assurer le salut de tous. Les athées seront couroucés d'être contraint à cette pratique, mais elle ne peut que leur être bénéfique.	3		-1	0	-19	0	0	23	100000	-1	-11	3	6	0	-23	0	-1	-1
485	Déchéance de nationalité pour les binationaux pour les crimes contre la nation	Militarist	Il est impensable que des criminels français et d'autres nations puissent être français après avoir attaqué notre gouvernement et ce qu'il représente. Pour ce faire, chaque criminel sera retiré la double nationalité.	0		152	0	6	0	-7	0	7500	-1	-11	6	0	0	0	0	-1	-1
486	Déchéance de nationalité systématique pour les crimes contre la nation	Militarist	Les criminels fançais ne peuvent souiller notre beau pays de leurs actes infâmes et repartir libre vivre une vie normale. A partir de ce décret, eux aussi sont considérés comme déchus de leur droit d'être français.	1		153	0	12	0	-7	0	7500	-1	-4	6	0	0	0	0	-1	-1
487	Déchéance de nationalité systématique pour les crimes graves	Militarist	La loi précédente pour les crimes contre la nation a fonctionné extremement bien. Pourtant, beaucoup d'immigrés ne se sentent pas impliqués et continuer à criminaliser nos campagnes. Les criminels graves et récidivistes seront maintenant déchus également.	1		154	0	6	0	-7	0	7500	-1	-4	6	0	0	0	0	-1	-1
488	Déchéance de nationalité sur ordonnance du Président	Militarist	Le Président estime qu'il est inconcevable que certains criminels viennent dans notre pays, deviennent français puis nous trahissent tout en restant français. Le Président demande le droit de pouvoir retirer la nationalité française sur ordre.	2		155	0	6	0	-7	0	7500	-1	-4	13	0	0	0	0	-1	-1
489	Déchéance de nationalité pour les délits mineurs	Militarist	Les criminels ne peuvent plus souiller notre beau pays. A partir de ce décret, chaque crime, chaque délit, même mineur sera puni de la peine capitale reinstaurée précédement : l'exil.	3		-1	0	-19	0	-7	0	50000	-1	-4	13	0	0	0	0	-1	-1
490	Sortie des accords de Schengen	Militarist	Les patriotes craignent une immigration massive due à une "perte de contrôle des frontières". Une telle mesure pourrait pour un gain économique intérieur faible nous exposer à de lourdes pertes extérieures.	0		-1	0	6	0	-7	0	6000	-1	3	-4	13	6	0	7500	-1	-1
491	Test de citoyenneté	Militarist	Les patriotes estiment qu'il est nécessaire de vérifier le niveau de connaissance en culture française des immigrés.	1		158	0	12	0	-7	0	6000	-1	3	-4	13	6	0	7500	-1	-1
492	Quotas d'immigration	Militarist	Les patriotes estiment que l'ont doit sauver les emplois des français en limitant l'immigration légale. Une telle mesure pourrait pour un gain économique intérieur faible nous exposer à de lourdes pertes extérieures.	1		159	-4	18	-7	-7	0	6000	-1	9	-4	13	6	6	7500	-1	-1
493	Fermeture totale des frontières	Militarist	Les patriotes estiment que l'ont doit sauver les emplois des français en fermant les frontières le temps qu'il faudra, peut-être toujours. Une telle mesure pourrait pour un gain économique intérieur faible nous exposer à de lourdes pertes extérieures.	2		-1	-10	21	-44	-13	0	6000	-1	9	-4	13	6	10	7500	-1	-1
494	Légalisation limitée de l'euthanasie	Liberals	Certains militants estiment que les patients souffrant de maladies non curables devraient sous certaines conditions pouvoir être assisté médicalement pour pouvoir partir dignement. La population semble approuver, à l'exception des religieux.	0		161	0	18	-7	0	-10	1500	-1	0	-7	0	0	10	7500	-1	-1
495	Légalisation de l'euthanasie	Liberals	Certains militants estiment que la législation actuelle est trop restrictive quant à l'autorisation d'euthanasie, ceux-ci proposent de la simplifier à un accord oral entre le médecin et le patient. La population semble approuver, à l'exception des religieux.	1		162	0	12	-7	0	-25	1500	-1	3	-14	0	0	10	7500	-1	-1
496	Droit au suicide	Liberals	Certains militants estiment qu'il n'y a aucun sens à interdire légalement le suicide. La population semble approuver, à l'exception des religieux.	2		-1	0	18	-13	3	-25	1500	-1	9	-14	0	0	17	7500	-1	-1
497	Augmentation des subventions à la culture	Liberals	L'agriculture, c'est important. La culture aussi. Pour cela, le gouvernement propose d'augmenter le budget dédié au patrimoine et a sa sauvegarde	0		164	-4	6	0	6	0	3000	-1	0	-7	6	0	0	6000	-1	-1
498	Musées nationaux gratuits pour tous	Liberals	La gratuité des musées permet à nos concitoyens les plus modestes (et les plus radins) d'accéder à la culture, c'est donc un moyen efficace de leur donner satisfaction.	1		165	-10	12	0	6	0	3000	-1	-4	-14	6	0	0	6000	-1	-1
499	Gratuité complète des bibliothèques municipales	Liberals	La gratuité des bibliothèque permet à nos concitoyens les plus modestes (et les plus radins) de s'enrichir culturellement et d'acquerir de nouvelles compétences par eux même, c'est donc un moyen efficace de leur donner satisfaction.	2		166	-14	18	0	6	0	3000	-1	0	-14	6	0	0	6000	-1	-1
500	Crédits culture pour tous les citoyens	Liberals	La mise à disposition d'un crédit culture à dépenser sur les plate-formes culturelles est un bon moyen de pousser nos concitoyen à consommer, c'est donc un moyen efficace de leur donner satisfaction.	3		-1	-17	21	12	6	0	3000	-1	9	-27	-7	0	0	6000	-1	-1
501																					
502										29											
503										-28											
504										-14											
505																					
506																					
507																					
508							-436	96	156	-13	1182	4700100		381	-5	-143	26	-1231	2835500		
509																					
510																					
511																					
512																					
513																					
514							-55	91	13	13	-49	7535600									
515																					
516																					
517																					
518																					
519																					
520																					
521																					
